agent_id,comprehensive_score,client_satisfaction,professional_competence,market_expertise,total_reviews,avg_rating,experience_years,transaction_volume,rank
88447,92.1949581482983,,,,,,,,1.0
235249,90.76518220559629,,,,,,,,2.0
731,90.71878715184933,,,,,,,,3.0
1223529,89.30007636024796,,,,,,,,4.0
4061522,88.73180811047625,,,,,,,,5.0
99652,87.20776321194913,,,,,,,,6.0
1174585,86.88899833941336,,,,,,,,7.0
561765,86.88271801016056,,,,,,,,8.0
30199,86.62499815980698,,,,,,,,9.0
66453,86.62465569127389,,,,,,,,10.0
150468,86.32509282677778,,,,,,,,11.0
26165,86.16390687474286,,,,,,,,12.0
439391,86.08596065538623,,,,,,,,13.0
1700264,85.66148225322205,,,,,,,,14.0
20377,84.43660933795066,,,,,,,,15.0
621450,83.96064835320081,,,,,,,,16.0
2214294,83.39392188833449,,,,,,,,17.0
2181311,83.19336135152837,,,,,,,,18.0
1431470,83.16885140437375,,,,,,,,19.0
1858599,82.93065374194325,,,,,,,,20.0
3767,82.43446799220521,,,,,,,,21.0
1386437,81.51255471936149,,,,,,,,22.0
82782,80.7444869116371,,,,,,,,23.0
215886,80.66832106454642,,,,,,,,24.0
610803,80.26931569143568,,,,,,,,25.0
1442069,80.13562079659764,,,,,,,,26.0
1315981,79.97246948700027,,,,,,,,27.0
501665,79.5810449182318,,,,,,,,28.0
420411,79.36407202950151,,,,,,,,29.0
10906,79.30055232967432,,,,,,,,30.0
1013279,79.27781527313832,,,,,,,,31.0
83510,79.01155824016722,,,,,,,,32.0
231765,78.64829007640837,,,,,,,,33.0
4052976,77.95561243476604,,,,,,,,34.0
2145224,77.93373588740916,,,,,,,,35.0
1205481,77.93227053995624,,,,,,,,36.0
1511002,77.76579581774037,,,,,,,,37.0
2121272,77.52575600508668,,,,,,,,38.0
959317,77.37368178276056,,,,,,,,39.0
76439,77.29837195380588,,,,,,,,40.0
203073,77.25957579731939,,,,,,,,41.0
658605,77.00128101130156,,,,,,,,42.0
812908,76.95016138462984,,,,,,,,43.0
196713,76.78637108972164,,,,,,,,44.0
1085153,76.26036694926691,,,,,,,,45.0
1494809,76.232506451809,,,,,,,,46.0
1754704,76.17322294159055,,,,,,,,47.0
2771854,76.07134989558028,,,,,,,,48.0
761463,75.87686381656147,,,,,,,,49.0
3987192,75.78090881878248,,,,,,,,50.0
1633164,75.6982182988443,,,,,,,,51.0
1089466,75.57758057567364,,,,,,,,52.0
1949939,75.53277383555027,,,,,,,,53.0
201271,75.46532475441778,,,,,,,,54.0
4274134,75.44463697323206,,,,,,,,55.0
312672,75.31239411439451,,,,,,,,56.0
492602,75.31018060484693,,,,,,,,57.0
139863,75.25299827903625,,,,,,,,58.0
1004350,75.13384146406608,,,,,,,,59.0
617293,75.12276790867577,,,,,,,,60.0
3334099,74.91844392680994,,,,,,,,61.0
1584491,74.83199388827417,,,,,,,,62.0
886766,74.78962866482371,,,,,,,,63.0
483729,74.77774674914114,,,,,,,,64.0
2906205,74.72396071726591,,,,,,,,65.0
580212,74.66176468324278,,,,,,,,66.0
1915439,74.6155362228418,,,,,,,,67.0
1043383,74.54294267996264,,,,,,,,68.0
1531302,74.54215652121911,,,,,,,,69.0
2552730,74.51825607019458,,,,,,,,70.0
1961188,74.39700823813499,,,,,,,,71.0
3711515,74.39222444264355,,,,,,,,72.0
894964,74.36489113650457,,,,,,,,73.0
4698085,74.33137053213879,,,,,,,,74.0
949295,74.270502971087,,,,,,,,75.0
1219649,74.24270788743421,,,,,,,,76.0
890762,74.2294519862393,,,,,,,,77.0
892598,74.14827607086075,,,,,,,,78.0
2941555,74.08304968622635,,,,,,,,79.0
2129554,74.03895625860186,,,,,,,,80.0
303662,74.01674400090424,,,,,,,,81.0
2023568,73.93274315730572,,,,,,,,82.0
1641267,73.91754873889312,,,,,,,,83.0
945220,73.89113891732315,,,,,,,,84.0
254666,73.87560518938601,,,,,,,,85.0
2047885,73.8379718148168,,,,,,,,86.0
1902396,73.82893421681612,,,,,,,,87.0
1211112,73.80509851461306,,,,,,,,88.0
1891323,73.79244184158182,,,,,,,,89.0
878738,73.69665539370548,,,,,,,,90.0
606144,73.57233516340874,,,,,,,,91.0
689816,73.56872159031852,,,,,,,,92.0
1170104,73.54518388941513,,,,,,,,93.0
621731,73.39637966895559,,,,,,,,94.0
3771400,73.26632049246517,,,,,,,,95.0
2214514,73.21072301785541,,,,,,,,96.0
2288559,73.1858964861028,,,,,,,,97.0
1986690,73.04870276224082,,,,,,,,98.0
889269,73.04740161642181,,,,,,,,99.0
2123574,72.95426138635838,,,,,,,,100.0
1258787,72.84522252461667,,,,,,,,101.0
1621026,72.82319046626337,,,,,,,,102.0
1602275,72.77298798268697,,,,,,,,103.0
1361005,72.65488274929258,,,,,,,,104.0
1284178,72.58883853552366,,,,,,,,105.0
1160489,72.49589019003288,,,,,,,,106.0
3348592,72.28347118711662,,,,,,,,107.0
100568698,72.28267386280612,,,,,,,,108.0
1525541,72.26208849307045,,,,,,,,109.0
1563622,72.24381377928285,,,,,,,,110.0
1218547,72.2023449649229,,,,,,,,111.0
718551,72.12829469462675,,,,,,,,112.0
702931,71.93629683204442,,,,,,,,113.0
3126072,71.92149767619127,,,,,,,,114.0
1441268,71.61662090283215,,,,,,,,115.0
1906522,71.2600935167155,,,,,,,,116.0
2215090,71.04638374856262,,,,,,,,117.0
1169984,70.98114945345385,,,,,,,,118.0
1341011,70.7093171277197,,,,,,,,119.0
1304946,70.6698679542366,,,,,,,,120.0
1875734,70.66252013493511,,,,,,,,121.0
1307931,70.47629879791891,,,,,,,,122.0
1614582,70.00630203400672,,,,,,,,123.0
2959618,69.84777507584475,,,,,,,,124.0
2196190,69.70564395869523,,,,,,,,125.0
1571610,69.47200165796697,,,,,,,,126.0
1612301,69.46168535121461,,,,,,,,127.0
2071406,69.25719440679129,,,,,,,,128.0
2073119,69.20175733655748,,,,,,,,129.0
1686832,68.95858569142825,,,,,,,,130.0
1747317,68.9413331558995,,,,,,,,131.0
1748152,68.7634920474846,,,,,,,,132.0
1389249,68.74726338491563,,,,,,,,133.0
1945201,68.69424391546485,,,,,,,,134.0
2292571,68.5665248815192,,,,,,,,135.0
1840485,68.48800710813408,,,,,,,,136.0
2138440,68.4469542087459,,,,,,,,137.0
1814687,68.39042397819229,,,,,,,,138.0
4697829,68.2490512410803,,,,,,,,139.0
2175937,68.22947868086266,,,,,,,,140.0
2067051,68.10581451533878,,,,,,,,141.0
2205797,68.10409926220287,,,,,,,,142.0
2010389,68.06217660707905,,,,,,,,143.0
2148045,68.02826512864816,,,,,,,,144.0
2967803,67.9541140639464,,,,,,,,145.0
3979764,67.93433411645302,,,,,,,,146.0
2054155,67.71969350531198,,,,,,,,147.0
2020846,67.71185493798946,,,,,,,,148.0
2900718,67.64086714970541,,,,,,,,149.0
2079771,67.49229567639979,,,,,,,,150.0
2257141,67.45083648673102,,,,,,,,151.0
2220115,67.45045896659809,,,,,,,,152.0
844623,67.33523202568944,,,,,,,,153.0
100003682,67.3237106918299,,,,,,,,154.0
2715234,67.23977878774916,,,,,,,,155.0
100663171,67.1244759039753,,,,,,,,156.0
2277358,67.10580595509936,,,,,,,,157.0
3138586,67.08886453127866,,,,,,,,158.0
1879868,66.94483160626208,,,,,,,,159.0
2295594,66.91475541211113,,,,,,,,160.0
3345497,66.84317525691785,,,,,,,,161.0
3402141,66.83792606349049,,,,,,,,162.0
2536383,66.82912909844664,,,,,,,,163.0
2756245,66.7796331991936,,,,,,,,164.0
1614660,66.7203165122738,,,,,,,,165.0
2726241,66.68398321107344,,,,,,,,166.0
3675158,66.62965412458534,,,,,,,,167.0
2776091,66.62839790458018,,,,,,,,168.0
2756911,66.49544020444526,,,,,,,,169.0
2935497,66.48625223928035,,,,,,,,170.0
3363976,66.44636016547844,,,,,,,,171.0
3704659,66.43688284776393,,,,,,,,172.0
3141408,66.43549026437525,,,,,,,,173.0
3661494,66.3273735994991,,,,,,,,174.0
3908175,66.30760815364056,,,,,,,,175.0
3102676,66.27921741677416,,,,,,,,176.0
43946,66.02292462049418,,,,,,,,177.0
617437,65.96757802465801,,,,,,,,178.0
4057605,65.96322607958749,,,,,,,,179.0
3443429,65.92680763916556,,,,,,,,180.0
2694649,65.88016014367668,,,,,,,,181.0
3322174,65.78352452215982,,,,,,,,182.0
3389895,65.7682991368037,,,,,,,,183.0
3806628,65.7614858703442,,,,,,,,184.0
3268095,65.73788401069875,,,,,,,,185.0
99929797,65.72914840771507,,,,,,,,186.0
3891785,65.71992990515133,,,,,,,,187.0
4047050,65.64237170719285,,,,,,,,188.0
3723583,65.64100013341039,,,,,,,,189.0
3176101,65.60076134372083,,,,,,,,190.0
3619953,65.49895810424626,,,,,,,,191.0
3712724,65.35337355034943,,,,,,,,192.0
3656251,65.22360824974326,,,,,,,,193.0
3650160,65.2045720220901,,,,,,,,194.0
488555,65.1777305141624,,,,,,,,195.0
4026478,65.16488347514276,,,,,,,,196.0
3669505,65.1225199224197,,,,,,,,197.0
4018541,65.04909237162082,,,,,,,,198.0
4075257,65.01186834227784,,,,,,,,199.0
430240,65.01047183221738,,,,,,,,200.0
19687,64.9956003301915,,,,,,,,201.0
1661602,64.95626745257954,,,,,,,,202.0
100194316,64.9302421614537,,,,,,,,203.0
100690857,64.91901514097681,,,,,,,,204.0
3814810,64.8748333820444,,,,,,,,205.0
2726993,64.86769889367957,,,,,,,,206.0
3494365,64.81470844920278,,,,,,,,207.0
64423,64.80880584065025,,,,,,,,208.0
1988756,64.80331433944228,,,,,,,,209.0
1813803,64.79683165737231,,,,,,,,210.0
3441363,64.79089155462061,,,,,,,,211.0
1806263,64.78904118847787,,,,,,,,212.0
1821580,64.78455369450342,,,,,,,,213.0
52048,64.7581861076113,,,,,,,,214.0
2264557,64.75811162122469,,,,,,,,215.0
2701820,64.75625836286744,,,,,,,,216.0
3802592,64.74760596611863,,,,,,,,217.0
4066452,64.7343146633426,,,,,,,,218.0
405028,64.72799557437467,,,,,,,,219.0
3065548,64.70393060948282,,,,,,,,220.0
1026054,64.68843649459477,,,,,,,,221.0
99976432,64.68677283841569,,,,,,,,222.0
3974490,64.68317277227756,,,,,,,,223.0
1626158,64.68233496486181,,,,,,,,224.0
3798088,64.6762113847749,,,,,,,,225.0
2130156,64.67235495249291,,,,,,,,226.0
1711819,64.65655467930216,,,,,,,,227.0
1964297,64.64959131686673,,,,,,,,228.0
3900010,64.64728697853745,,,,,,,,229.0
758928,64.6456743810146,,,,,,,,230.0
1905681,64.64478158770122,,,,,,,,231.0
1190687,64.64359370909915,,,,,,,,232.0
4256295,64.63656960680478,,,,,,,,233.0
1476111,64.63599656402992,,,,,,,,234.0
761422,64.62603145608432,,,,,,,,235.0
2103361,64.62480361822274,,,,,,,,236.0
4048502,64.61753845612321,,,,,,,,237.0
1084351,64.61348160719251,,,,,,,,238.0
1490635,64.60689945679604,,,,,,,,239.0
1845199,64.60068325498315,,,,,,,,240.0
100211350,64.59748287716677,,,,,,,,241.0
2065245,64.59633782270073,,,,,,,,242.0
747073,64.59244273136456,,,,,,,,243.0
99960389,64.59186774652287,,,,,,,,244.0
3634485,64.58816516276009,,,,,,,,245.0
1137209,64.58593935131502,,,,,,,,246.0
2736536,64.58511156973947,,,,,,,,247.0
1988880,64.58282162221866,,,,,,,,248.0
100461182,64.58238765951258,,,,,,,,249.0
3055708,64.5803714150042,,,,,,,,250.0
3852549,64.57779679054926,,,,,,,,251.0
4474235,64.57711839598308,,,,,,,,252.0
3823689,64.57687822778507,,,,,,,,253.0
100111607,64.57251338642351,,,,,,,,254.0
1465932,64.56872752265627,,,,,,,,255.0
1755010,64.55948467187041,,,,,,,,256.0
4079452,64.55888873780573,,,,,,,,257.0
559965,64.55580221501667,,,,,,,,258.0
2731193,64.55462666424135,,,,,,,,259.0
4773410,64.55458523920908,,,,,,,,260.0
1995963,64.55378635537951,,,,,,,,261.0
4810973,64.55230181638784,,,,,,,,262.0
2266195,64.54957354223198,,,,,,,,263.0
760901,64.54941587758024,,,,,,,,264.0
100084820,64.54907080265056,,,,,,,,265.0
85987,64.5431374850253,,,,,,,,266.0
1203519,64.52584375783583,,,,,,,,267.0
1099379,64.52446850427475,,,,,,,,268.0
289677,64.52351742118861,,,,,,,,269.0
3237886,64.51548629900148,,,,,,,,270.0
100020649,64.51334598596421,,,,,,,,271.0
3240779,64.51222241816738,,,,,,,,272.0
3672142,64.50979839510012,,,,,,,,273.0
573535,64.50962900096327,,,,,,,,274.0
3398468,64.49583939043298,,,,,,,,275.0
963400,64.49256400725542,,,,,,,,276.0
2041911,64.49133924994666,,,,,,,,277.0
100001546,64.48433727282314,,,,,,,,278.0
3117613,64.47436095209696,,,,,,,,279.0
477934,64.46740187508213,,,,,,,,280.0
126876,64.46659488189069,,,,,,,,281.0
1907503,64.46346609160297,,,,,,,,282.0
3738720,64.46128270432138,,,,,,,,283.0
100022647,64.46044785761205,,,,,,,,284.0
3913855,64.45572026833796,,,,,,,,285.0
952731,64.43352978696754,,,,,,,,286.0
74491,64.42861643259305,,,,,,,,287.0
1263783,64.42523736949893,,,,,,,,288.0
2183562,64.4197236348633,,,,,,,,289.0
1193715,64.40676148223925,,,,,,,,290.0
295336,64.39197869782485,,,,,,,,291.0
1997046,64.38865041788414,,,,,,,,292.0
4032285,64.38352261012851,,,,,,,,293.0
189945,64.34379228364179,,,,,,,,294.0
3228670,64.30419051790679,,,,,,,,295.0
203185,64.30352834790504,,,,,,,,296.0
1996060,64.30189097629263,,,,,,,,297.0
1045043,64.26692481297556,,,,,,,,298.0
3386085,64.24730882924669,,,,,,,,299.0
1310227,64.23062521176894,,,,,,,,300.0
1621819,64.21150025004255,,,,,,,,301.0
3245164,64.15831919707522,,,,,,,,302.0
491104,64.12971659383533,,,,,,,,303.0
4115210,64.12096690334377,,,,,,,,304.0
4164285,64.11776722077693,,,,,,,,305.0
1209006,64.07734428633312,,,,,,,,306.0
755054,63.97694508620889,,,,,,,,307.0
4328304,63.97317708059229,,,,,,,,308.0
3240591,63.943849745691516,,,,,,,,309.0
4813309,63.924129586814985,,,,,,,,310.0
4281889,63.883397470579254,,,,,,,,311.0
2102378,63.84312524466408,,,,,,,,312.0
4697134,63.840988026049075,,,,,,,,313.0
3123397,63.8268722795153,,,,,,,,314.0
7224,63.68298115930801,,,,,,,,315.0
4446607,63.63714686600128,,,,,,,,316.0
4440998,63.617428476404555,,,,,,,,317.0
1431198,63.586605005454324,,,,,,,,318.0
280053,63.52460084709912,,,,,,,,319.0
2235279,63.523401875447604,,,,,,,,320.0
2992811,63.46905690137742,,,,,,,,321.0
4478008,63.46585775463281,,,,,,,,322.0
2293693,63.4528932461057,,,,,,,,323.0
4919692,63.44266886484853,,,,,,,,324.0
4694001,63.335570227685146,,,,,,,,325.0
4804660,63.276749966512135,,,,,,,,326.0
4829258,63.20663703424767,,,,,,,,327.0
1838125,63.20342697715948,,,,,,,,328.0
4796068,63.1841812784233,,,,,,,,329.0
1920445,63.03826871547346,,,,,,,,330.0
4851398,63.00836646981286,,,,,,,,331.0
4245304,62.91705623690002,,,,,,,,332.0
3145097,62.90079248250579,,,,,,,,333.0
3641794,62.8515017628402,,,,,,,,334.0
1510833,62.819562766123546,,,,,,,,335.0
2134240,62.78807684932277,,,,,,,,336.0
690792,62.71508818347215,,,,,,,,337.0
2142915,62.653294442068166,,,,,,,,338.0
4097725,62.652351811390886,,,,,,,,339.0
4543772,62.61433166079603,,,,,,,,340.0
100255586,62.54456842194603,,,,,,,,341.0
100025069,62.25672491727082,,,,,,,,342.0
100532108,62.00728498962052,,,,,,,,343.0
100654933,61.890910104944155,,,,,,,,344.0
1831304,61.850185478069555,,,,,,,,345.0
100636510,61.75451865318826,,,,,,,,346.0
100415690,61.712774246525505,,,,,,,,347.0
560475,61.61930980183424,,,,,,,,348.0
100272607,61.505814351367064,,,,,,,,349.0
165293,61.247739941174004,,,,,,,,350.0
2762500,61.07181516789316,,,,,,,,351.0
849653,61.021701102815165,,,,,,,,352.0
2756121,60.0581199636693,,,,,,,,353.0
846388,59.53800012983663,,,,,,,,354.0
1173949,59.306729446764884,,,,,,,,355.0
3340201,57.8248992728167,,,,,,,,356.0
3496618,56.83598464122356,,,,,,,,357.0
1879971,56.578106599329246,,,,,,,,358.0
1651195,56.239673678202266,,,,,,,,359.0
248282,55.584708537285024,,,,,,,,360.0
1013264,54.76832527650225,,,,,,,,361.0
1151771,54.55741949192543,,,,,,,,362.0
117829,54.3624889937735,,,,,,,,363.0
900047,54.207259386456286,,,,,,,,364.0
439979,53.83826901612676,,,,,,,,365.0
351674,53.66573298484799,,,,,,,,366.0
680985,52.156590531815624,,,,,,,,367.0
1961018,44.822518816341294,,,,,,,,368.0
1940909,44.505136649532574,,,,,,,,369.0
2212248,43.092677786819834,,,,,,,,370.0
3754224,42.933348377457676,,,,,,,,371.0
3469368,42.83782695065328,,,,,,,,372.0
1586816,42.35374733263756,,,,,,,,373.0
2757685,41.87104295785597,,,,,,,,374.0
3154780,41.237614552967784,,,,,,,,375.0
3148464,41.01924325329943,,,,,,,,376.0
4094464,40.96024376679971,,,,,,,,377.0
3974443,40.854068825258835,,,,,,,,378.0
3911725,40.38513807376458,,,,,,,,379.0
3707646,39.956865255269435,,,,,,,,380.0
4016533,38.89438971201443,,,,,,,,381.0
4613656,38.71360582022877,,,,,,,,382.0
4018519,38.234132250287125,,,,,,,,383.0
4056783,38.17210144970099,,,,,,,,384.0
1951785,38.13733518161144,,,,,,,,385.0
4016741,37.68890719986434,,,,,,,,386.0
4217577,37.56697670451614,,,,,,,,387.0
1856419,37.50758886782286,,,,,,,,388.0
4483278,37.08144340146984,,,,,,,,389.0
4785631,37.010429294920385,,,,,,,,390.0
1659159,36.41788947341281,,,,,,,,391.0
1911322,36.24812687236955,,,,,,,,392.0
2704920,36.13469474303488,,,,,,,,393.0
4791010,36.09022852987086,,,,,,,,394.0
181958,35.95878881339824,,,,,,,,395.0
1855872,35.906899673878456,,,,,,,,396.0
3329324,35.88892736733519,,,,,,,,397.0
100453043,35.76818522462793,,,,,,,,398.0
1393869,35.75885285271552,,,,,,,,399.0
1308197,35.69668685219901,,,,,,,,400.0
196633,35.67757242470172,,,,,,,,401.0
3347518,35.652044487887466,,,,,,,,402.0
1851274,35.64293774120933,,,,,,,,403.0
1131222,35.63123910078791,,,,,,,,404.0
133571,35.547039948595994,,,,,,,,405.0
959500,35.54065187382391,,,,,,,,406.0
100244571,35.50286721652816,,,,,,,,407.0
3711981,35.439390917987204,,,,,,,,408.0
69614,35.36665059445889,,,,,,,,409.0
1422741,35.27186020459879,,,,,,,,410.0
682721,32.55193668009797,,,,,,,,411.0
3123020,31.350037962508527,,,,,,,,412.0
1408028,27.545389423004323,,,,,,,,413.0
911629,17.61226318179861,,,,,,,,414.0
1972206,15.992402990220892,,,,,,,,415.0
321850,13.900581038827086,,,,,,,,416.0
320740,11.236846208359356,,,,,,,,417.0
3140404,9.886040901404424,,,,,,,,418.0
4687991,6.845905826838082,,,,,,,,419.0
100133205,4.631671212705153,,,,,,,,420.0
665026,1.3721803433633006,,,,,,,,421.0
121277,0.6335851399520452,,,,,,,,422.0
